player_id,start_year,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp
joynewa01,1986,846,3208.0,455.0,925.0,170.0,11.0,114.0,518.0,28.0,9.0,323.0,331.0,49.0,20.0,16.0,46.0,77.0
phillbr01,2002,442,1618.0,215.0,424.0,77.0,9.0,53.0,207.0,61.0,17.0,87.0,289.0,7.0,22.0,12.0,12.0,58.0
thompry01,1992,291,1019.0,129.0,245.0,53.0,4.0,40.0,131.0,8.0,11.0,75.0,282.0,12.0,17.0,8.0,10.0,27.0
brownje01,1986,617,2093.0,298.0,564.0,89.0,19.0,14.0,182.0,62.0,41.0,254.0,225.0,11.0,6.0,48.0,22.0,37.0
hillma01,1973,362,1015.0,75.0,235.0,35.0,1.0,20.0,126.0,1.0,4.0,118.0,125.0,22.0,2.0,8.0,12.0,36.0
estessh01,1995,155,263.0,27.0,45.0,9.0,0.0,2.0,19.0,0.0,1.0,8.0,100.0,0.0,3.0,42.0,0.0,4.0
iorgda01,1977,438,1032.0,96.0,307.0,65.0,6.0,6.0,140.0,4.0,5.0,72.0,111.0,7.0,1.0,2.0,13.0,31.0
howarda02,1991,467,1237.0,127.0,281.0,44.0,12.0,7.0,117.0,21.0,15.0,108.0,231.0,1.0,6.0,45.0,13.0,18.0
penabr01,2005,195,450.0,44.0,114.0,25.0,0.0,9.0,49.0,2.0,1.0,28.0,62.0,3.0,1.0,5.0,4.0,18.0
leetr01,1998,849,2974.0,386.0,769.0,157.0,12.0,92.0,406.0,47.0,14.0,379.0,562.0,29.0,6.0,2.0,23.0,75.0
brohaja01,1972,586,1865.0,185.0,455.0,63.0,9.0,26.0,170.0,8.0,10.0,164.0,141.0,16.0,8.0,27.0,21.0,32.0
clinege01,1970,534,1404.0,204.0,391.0,51.0,17.0,2.0,91.0,55.0,26.0,107.0,185.0,4.0,13.0,13.0,6.0,37.0
grievto01,1970,379,1009.0,122.0,258.0,40.0,7.0,36.0,135.0,2.0,5.0,74.0,224.0,2.0,6.0,16.0,4.0,26.0
gladdda01,1983,610,2272.0,356.0,617.0,103.0,19.0,35.0,210.0,147.0,61.0,201.0,331.0,12.0,21.0,29.0,11.0,38.0
hallbi03,2002,627,2058.0,298.0,543.0,143.0,16.0,81.0,288.0,43.0,29.0,172.0,553.0,10.0,7.0,12.0,17.0,42.0
mcraebr01,1990,751,2973.0,411.0,794.0,147.0,39.0,42.0,296.0,120.0,49.0,213.0,480.0,7.0,25.0,36.0,18.0,50.0
stearjo01,1974,529,1720.0,213.0,425.0,89.0,5.0,41.0,214.0,54.0,39.0,232.0,216.0,20.0,22.0,9.0,18.0,57.0
gomezch02,1993,685,2282.0,262.0,573.0,118.0,9.0,32.0,252.0,20.0,20.0,244.0,462.0,9.0,24.0,25.0,13.0,66.0
caminke01,1987,694,2492.0,271.0,639.0,121.0,11.0,44.0,295.0,27.0,14.0,206.0,405.0,37.0,9.0,13.0,18.0,64.0
ordonma01,1997,789,2999.0,497.0,916.0,186.0,10.0,149.0,567.0,73.0,31.0,260.0,336.0,17.0,24.0,3.0,30.0,107.0
weeksri01,2003,445,1615.0,306.0,395.0,72.0,18.0,51.0,158.0,78.0,14.0,215.0,425.0,8.0,59.0,8.0,10.0,25.0
woodwch01,1999,351,1067.0,144.0,264.0,59.0,12.0,26.0,135.0,6.0,5.0,81.0,238.0,3.0,7.0,6.0,17.0,20.0
boonebr01,1992,636,2257.0,264.0,572.0,121.0,10.0,62.0,304.0,19.0,16.0,162.0,445.0,6.0,26.0,26.0,29.0,54.0
summech01,1974,368,658.0,99.0,161.0,28.0,3.0,29.0,103.0,10.0,8.0,90.0,117.0,7.0,7.0,1.0,4.0,16.0
bannial01,1974,447,1404.0,207.0,377.0,60.0,16.0,5.0,129.0,43.0,18.0,126.0,138.0,4.0,8.0,12.0,16.0,23.0
mcdonjo03,1999,285,623.0,76.0,144.0,26.0,5.0,4.0,33.0,6.0,4.0,26.0,103.0,0.0,8.0,15.0,4.0,12.0
lankfra01,1990,711,2596.0,416.0,695.0,150.0,32.0,83.0,351.0,143.0,78.0,328.0,622.0,23.0,15.0,7.0,20.0,25.0
morriha02,1988,489,1599.0,214.0,491.0,94.0,7.0,34.0,201.0,27.0,15.0,147.0,210.0,23.0,6.0,10.0,17.0,35.0
scottto01,1973,313,662.0,89.0,163.0,25.0,7.0,4.0,67.0,24.0,23.0,60.0,131.0,7.0,8.0,2.0,4.0,14.0
waltoje01,1989,421,1262.0,188.0,329.0,56.0,7.0,13.0,94.0,48.0,22.0,110.0,229.0,2.0,15.0,10.0,10.0,20.0
cabremi01,2003,880,3310.0,534.0,1022.0,219.0,12.0,175.0,650.0,18.0,11.0,378.0,718.0,76.0,28.0,5.0,35.0,103.0
rossco01,2003,332,947.0,130.0,247.0,62.0,7.0,48.0,164.0,9.0,2.0,77.0,232.0,5.0,15.0,2.0,8.0,16.0
choosh01,2005,459,1642.0,265.0,488.0,109.0,14.0,59.0,270.0,52.0,16.0,228.0,406.0,23.0,35.0,1.0,15.0,28.0
hosleti01,1970,100,190.0,31.0,46.0,7.0,0.0,9.0,31.0,1.0,1.0,30.0,37.0,3.0,2.0,2.0,2.0,6.0
lemasjo01,1975,467,1328.0,124.0,293.0,57.0,14.0,9.0,100.0,21.0,14.0,88.0,220.0,10.0,4.0,30.0,8.0,19.0
figgich01,2002,662,2517.0,410.0,737.0,104.0,45.0,25.0,265.0,204.0,66.0,249.0,419.0,2.0,2.0,32.0,26.0,30.0
sundbji01,1974,875,2754.0,288.0,699.0,112.0,18.0,29.0,293.0,12.0,16.0,318.0,397.0,11.0,14.0,67.0,18.0,90.0
thondi01,1979,459,1550.0,208.0,433.0,80.0,22.0,23.0,142.0,84.0,31.0,115.0,176.0,13.0,5.0,15.0,11.0,27.0
mackape01,1973,350,1017.0,107.0,217.0,38.0,11.0,21.0,86.0,20.0,8.0,54.0,214.0,6.0,5.0,15.0,6.0,20.0
rileser01,1985,678,2019.0,259.0,534.0,75.0,16.0,37.0,228.0,15.0,23.0,191.0,316.0,9.0,6.0,19.0,21.0,53.0
alicelu01,1988,349,992.0,101.0,242.0,41.0,18.0,6.0,102.0,14.0,8.0,107.0,145.0,7.0,10.0,7.0,13.0,26.0
bergmda01,1975,219,300.0,32.0,70.0,11.0,2.0,1.0,18.0,3.0,0.0,51.0,49.0,11.0,0.0,4.0,3.0,6.0
cruzde01,1997,854,2919.0,307.0,787.0,185.0,11.0,44.0,324.0,14.0,22.0,91.0,314.0,4.0,18.0,45.0,24.0,88.0
lansimi01,1993,830,3149.0,413.0,870.0,204.0,11.0,61.0,331.0,106.0,33.0,232.0,423.0,14.0,35.0,35.0,15.0,86.0
valenja01,1997,141,391.0,34.0,90.0,19.0,2.0,8.0,46.0,0.0,0.0,33.0,72.0,1.0,1.0,4.0,6.0,9.0
officro01,1972,482,1395.0,144.0,370.0,60.0,4.0,15.0,134.0,11.0,17.0,100.0,180.0,10.0,8.0,15.0,12.0,32.0
biggicr01,1988,800,2890.0,404.0,799.0,147.0,17.0,51.0,256.0,124.0,53.0,333.0,431.0,30.0,28.0,30.0,16.0,36.0
merlolo01,1998,338,871.0,111.0,235.0,54.0,6.0,10.0,95.0,7.0,6.0,71.0,165.0,4.0,14.0,14.0,9.0,28.0
bryest01,1970,450,1383.0,161.0,360.0,65.0,10.0,20.0,133.0,12.0,11.0,104.0,196.0,5.0,8.0,9.0,7.0,31.0
lambmi01,2000,594,1729.0,243.0,474.0,83.0,10.0,45.0,228.0,5.0,5.0,136.0,270.0,16.0,14.0,8.0,15.0,38.0
loretma01,1995,608,1995.0,286.0,582.0,107.0,11.0,25.0,224.0,21.0,17.0,196.0,226.0,6.0,21.0,29.0,21.0,60.0
madlobi01,1973,683,2538.0,372.0,824.0,145.0,20.0,59.0,297.0,67.0,42.0,238.0,181.0,53.0,29.0,17.0,19.0,78.0
deerro01,1984,624,2084.0,316.0,477.0,79.0,8.0,121.0,339.0,31.0,21.0,299.0,757.0,18.0,20.0,2.0,13.0,20.0
neaglde01,1991,205,210.0,10.0,29.0,4.0,0.0,2.0,19.0,0.0,1.0,6.0,63.0,0.0,0.0,30.0,1.0,1.0
