player_id,end_year,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp
kreutch01,2003,630,1706.0,187.0,399.0,85.0,4.0,31.0,191.0,3.0,4.0,250.0,400.0,8.0,17.0,15.0,12.0,50.0
varitja01,2011,993,3305.0,431.0,834.0,185.0,9.0,139.0,497.0,17.0,10.0,429.0,872.0,47.0,43.0,10.0,24.0,73.0
koskico01,2006,291,1033.0,146.0,261.0,67.0,2.0,48.0,140.0,14.0,6.0,122.0,251.0,16.0,19.0,0.0,7.0,23.0
nahorbi01,1984,53,120.0,8.0,27.0,5.0,1.0,5.0,21.0,0.0,1.0,4.0,16.0,0.0,2.0,1.0,2.0,3.0
russejo02,1993,115,187.0,21.0,44.0,5.0,0.0,3.0,14.0,1.0,0.0,15.0,62.0,2.0,1.0,1.0,2.0,3.0
velezot01,1983,321,948.0,136.0,238.0,43.0,5.0,47.0,144.0,1.0,4.0,171.0,212.0,13.0,8.0,4.0,6.0,22.0
colbrgr01,2004,446,983.0,136.0,302.0,63.0,9.0,40.0,157.0,5.0,6.0,92.0,156.0,3.0,22.0,0.0,6.0,30.0
hammeja01,2015,108,109.0,8.0,16.0,1.0,0.0,0.0,7.0,0.0,0.0,2.0,37.0,0.0,0.0,12.0,1.0,2.0
mitchke01,1998,675,2280.0,351.0,664.0,123.0,8.0,134.0,441.0,10.0,12.0,275.0,367.0,44.0,16.0,0.0,26.0,58.0
roberbr01,2014,753,2905.0,441.0,793.0,198.0,20.0,57.0,292.0,149.0,33.0,342.0,485.0,15.0,7.0,12.0,28.0,42.0
scottmi03,1991,209,448.0,21.0,56.0,6.0,0.0,2.0,33.0,2.0,1.0,16.0,184.0,0.0,0.0,43.0,3.0,6.0
tollewa01,1990,295,622.0,84.0,126.0,12.0,3.0,2.0,40.0,12.0,4.0,73.0,128.0,0.0,1.0,12.0,2.0,7.0
riceji01,1989,1287,5073.0,734.0,1476.0,224.0,30.0,210.0,868.0,19.0,11.0,434.0,823.0,47.0,38.0,1.0,56.0,224.0
berryda01,1997,304,839.0,77.0,207.0,46.0,4.0,19.0,111.0,0.0,1.0,70.0,171.0,8.0,2.0,3.0,10.0,19.0
puhlte01,1991,783,2049.0,280.0,579.0,106.0,23.0,27.0,208.0,79.0,38.0,227.0,234.0,26.0,7.0,26.0,17.0,26.0
ramirra01,1992,802,2632.0,254.0,669.0,118.0,11.0,25.0,237.0,44.0,22.0,120.0,311.0,21.0,10.0,32.0,16.0,60.0
suzukic01,2015,1400,5266.0,677.0,1581.0,186.0,41.0,52.0,379.0,263.0,56.0,316.0,611.0,77.0,19.0,31.0,25.0,59.0
keppije01,2013,468,1701.0,185.0,485.0,82.0,3.0,25.0,174.0,5.0,3.0,107.0,132.0,2.0,7.0,10.0,17.0,54.0
morsemi01,2015,565,1907.0,222.0,518.0,105.0,5.0,83.0,264.0,2.0,4.0,127.0,507.0,6.0,33.0,0.0,13.0,64.0
bardjo01,2011,212,645.0,45.0,140.0,38.0,0.0,12.0,68.0,0.0,1.0,57.0,122.0,3.0,2.0,5.0,2.0,14.0
hammaat01,1995,152,129.0,6.0,20.0,1.0,0.0,0.0,6.0,0.0,0.0,4.0,45.0,0.0,0.0,11.0,0.0,1.0
vazqura01,2009,310,804.0,103.0,203.0,38.0,6.0,15.0,84.0,2.0,1.0,98.0,185.0,7.0,4.0,17.0,8.0,10.0
